ordcan,name_cz,uid,url,image,fullname,role,age,description
28,jakub.hejtmánek,jakub.hejtmanek,,jakub-hejtmanek.jpg,Ing. Jakub Hejtmánek,Příznivec,39,softwarový architekt
29,šimon.procházka,simon.prochazka,,simon-prochazka.jpg,Šimon Procházka,Příznivec,30,data engineer
30,jana.hrdličková,jana.hrdlickova,,jana-hrdlickova.jpg,Ing. Mgr. Jana Hrdličková,Příznivec,30,lektorka
31,blanka.krátká,blanka.kratka,,blanka-kratka.jpg,Blanka Krátká,Příznivec,24,učitelka
32,olga.havlíčková,olga.havlickova,,olga-havlickova.jpg,Ing. Olga Havlíčková,"Příznivec. Pirátskou stranu se rozhodla podpořit vzhledem k její nekonvenční podstatě, dodržování slova a jasně daným postojům. Oceňuje především progresivní přístup k technologiím, který nabízí zjevné zjednodušení a zlepšení.",27,personalistka
33,marcela.hodrová,marcela.hodrova,,,Marcela Hodrová,Příznivec,59,programový pracovník v ČT
34,miloš.kostner,milos.kostner,,,Miloš Kostner,Příznivec,47,OSVČ
35,svatava.derková,svatava.derkova,,svatava-derkova.jpg,JUDr. Svatava Derková,Příznivec,67,důchodce
36,michaela.baxová,michaela.baxova,,michaela-baxova.jpg,Bc. Michaela Baxová,Příznivec,26,studentka
37,renata.šandor,renata.sandor,,,Mgr. Renata Šandor,Příznivec,34,právnička
38,ondřej.křivan,ondrej.krivan,,ondrej-krivan.jpg,Ondřej Křivan,Příznivec,27,IT specialista
39,anna.harpátová,anna.harpatova,,anna-harapatova.jpg,Anna Harapátová,Nezávislý kandidátka,29,Siebel developer
40,pavla.němcová,pavla.nemcova,,pavla-nemcova.jpg,Bc. Pavla Němcová,"Příznivec. Již 7 let působí v oblasti řízení lidských zdrojů, poslední 4 roky na trhu e-commerce. Pirátské straně věří především kvůli jejímu programu, který neuvažuje pouze v přítomném čase, ale i v tom budoucím. Důležitá je pro ní transparentnost, dodržování slibů a slova, která jsou srozumitelná pro každého občana.",26,personalistka
41,alena .divoká,alena .divoka,,alena-divoka.jpg,Mgr. Alena Divoká,Příznivec,33,analytik
42,marek .hradecký,marek.hradecky,,,Marek Hradecký,Příznivec,20,student FF UK
43,david.kolář,david.kolar,,,David Kolář,Nezávislý kandidátka,40,OSVČ
44,jakub.kocourek,jakub.kocourek,,,Jakub Kocourek,Příznivec,30,kontrolor
45,lenka.kučerová,lenka.kucerová,,,Mgr. Lenka Kučerová,Příznivec,64,meteorolog
